Timestamp,Coin,Price,24h Change,Market Cap
2026-06-11 12:17:10,CoinMarketCap 20 Index DTF,$126.03,0.30%,"$12,837,961"
2026-06-11 12:17:10,Bitcoin,"$62,838.37",0.34%,"$1,259,357,358,912"
2026-06-11 12:17:10,Ethereum,"$1,658.12",0.51%,"$200,109,959,522"
2026-06-11 12:17:11,Tether,$0.9988,0.01%,"$186,708,921,178"
2026-06-11 12:17:11,BNB,$596.30,0.29%,"$80,372,965,567"
2026-06-11 12:17:11,USDC,$0.9997,0.00%,"$74,970,448,448"
2026-06-11 12:17:11,XRP,$1.11,0.14%,"$69,283,798,139"
2026-06-11 12:17:11,Solana,$65.24,0.26%,"$37,820,175,714"
2026-06-11 12:17:11,TRON,$0.3218,0.10%,"$30,524,375,954"
2026-06-11 12:17:11,Hyperliquid,$55.69,0.96%,"$14,124,485,974"
